wikidata_id,xeno_canto_id
Q21346306,Gallus-lafayettii
Q27074603,Ardenna-grisea
Q490439,Chroicocephalus-serranus
Q1272352,Rhegmatorhina-hoffmannsi
Q12255838,Cinnyris-fuelleborni
Q1591704,Turdus-ignobilis
Q1259360,Herpsilochmus-dugandi
Q2852128,Urolais-epichlorus
Q113980,Accipiter-henicogrammus
Q693593,Elanus-leucurus
Q1260248,Xiphocolaptes-major
Q376590,Rhipidura-drownei
Q2668913,Agelasticus-cyanopus
Q1273741,Penelope-ortoni
Q25261967,Melanorectes-nigrescens
Q1275342,Pyriglena-atra
Q3367023,Geothlypis-chiriquensis
Q3728152,Pomatorhinus-erythrocnemis
Q979374,Ptilinopus-insularis
Q113218,Streptopelia-decipiens
Q2668559,Ammodramus-nelsoni
Q186184,Carpodacus-roborowskii
Q476593,Ara-glaucogularis
Q934542,Polytelis-swainsonii
Q276070,Procellaria-cinerea
Q1270389,Pyrrhura-picta
Q1273734,Phacellodomus-erythrophthalmus
Q1260542,Phaethornis-syrmatophorus
Q113999,Accipiter-henstii
Q901812,Psittacella-picta
Q779856,Tauraco-leucotis
Q1351070,Charadrius-melodus
Q1589525,Daphoenositta-chrysoptera
Q1267874,Hemitriccus-diops
Q766717,Cinnyris-jugularis
Q210954,Polysticta-stelleri
Q1303348,Climacteris-rufus
Q948701,Penelope-jacquacu
Q940324,Nesotriccus-ridgwayi
Q1268595,Leptotila-conoveri
Q839933,Thalurania-watertonii
Q1265854,Muscisaxicola-rufivertex
Q1268856,Patagioenas-plumbea
Q1126064,Glaucidium-griseiceps
Q27074605,Ardenna-tenuirostris
Q62076441,Pterorhinus-chinensis
Q1263597,Rhytipterna-immunda
Q1266947,Campephilus-gayaquilensis
Q392184,Egretta-vinaceigula
Q1586689,Tangara-cyanoptera
Q1313747,Pycnonotus-erythropthalmos
Q25440,Phalacrocorax-carbo
Q17630679,Stephanoxis-loddigesii
Q3726873,Hylacola-pyrrhopygia
Q1273589,Sarothrura-boehmi
Q1269523,Phyllomyias-griseiceps
Q764712,Phalacrocorax-gaimardi
Q3114794,Thlypopsis-ornata
Q1587775,Xenospiza-baileyi
Q2225756,Cisticola-melanurus
Q1591898,Lalage-maculosa
Q845457,Dulus-dominicus
Q268047,Lampornis-clemenciae
Q109578179,Curruca-leucomelaena
Q1260603,Picumnus-squamulatus
Q22103025,Stachyridopsis-rufifrons
